field,Gini,M20,C,A,size,n,q,z.mode,mass
COSMOS,0.524157643335892,-1.48460786386789,3.07505590149154,0.248649128281963,0.447811599108138,1.1582,0.9927,1.98,9.72332
COSMOS,0.500467446555498,-1.78863616118447,3.23025308266699,0.195740576590299,0.926439839982054,2.1775,0.4608,1.89,9.68047
COSMOS,0.495982584137812,-1.42043172068041,3.20821640117101,0.19675223654059,0.776370788011518,1.6662,0.5611,1.89,9.71128
COSMOS,0.544915306579537,-1.84631419379207,3.7898056048261,0.0511837551795099,0.988089106762605,1.4421,0.4792,1.53,10.9515
COSMOS,0.437752146211411,-1.24351404452868,3.37055574228039,0.204283992623235,1.03121756567797,0.4444,0.5786,1.8,10.5133
COSMOS,0.465858890480271,-2.00549898622981,3.49722829651176,0.090673733034151,1.01215045210379,1.9551,0.3282,1.75,11.1463
COSMOS,0.452255249856495,-1.37697449364603,2.36689252852129,0.291058266117848,0.710878875270173,1.7612,0.9942,1.79,9.84483
COSMOS,0.447349756905192,-1.59713689169505,3.01609519955295,0.084251955472366,0.400534870687473,0.8027,0.587,1.87,9.70092
COSMOS,0.433796168950154,-1.50903755752486,2.46444328081735,0.135447577821751,1.33057866620288,1.0944,0.7657,1.55,10.3022
COSMOS,0.468829736343565,-1.66561048107707,3.30446391623206,0.0556786903974519,0.428189787876665,1.7018,0.6762,1.87,10.524
COSMOS,0.414524598718245,-1.48107551676591,2.82362535726547,0.233185045368526,0.986347979230524,1.1238,0.7262,1.49,10.3795
COSMOS,0.39752932436692,-1.56966150761337,2.94641503739012,0.116265553146041,0.898816160921943,0.9098,0.4059,1.77,9.89209
COSMOS,0.391924693814162,-1.66545756033527,3.27052883857956,0.149710969751314,0.464146669673703,1.5636,0.3587,1.95,9.59166
COSMOS,0.488796759873192,-1.55747327596682,3.4248579111498,0.15530455117901,0.484677930180071,2.1154,0.8106,1.79,10.0817
COSMOS,0.432624802166192,-1.02011386739269,2.19125025483275,0.162678587562919,0.985766919987619,0.2,0.4352,1.99,10.2279
COSMOS,0.548791807901407,-1.84366881365639,4.0095540397982,0.248408209693874,0.840850711595962,8,0.6717,2.02,10.4774
COSMOS,0.364791264219805,-1.47523641875635,2.76652743917314,0.122985612313187,0.525514659408334,2.8812,0.7241,1.82,10.6263
COSMOS,0.524400251407632,-1.72877883249307,3.66605831882579,0.111756013200285,0.42550518593942,4.2364,0.8409,1.51,10.361
COSMOS,0.478998171942624,-1.85805926165852,3.2063383212867,0.0999769369437487,0.497511575238723,1.7428,0.7232,1.68,9.77687
COSMOS,0.544271250830041,-1.87044700110948,3.30825838287402,0.138358237585214,0.811021299849878,1.6594,0.5449,1.89,9.66978
COSMOS,0.412445855904458,-1.46827207152588,2.28780429815306,0.136322046719187,1.52481563890225,0.5811,0.9472,1.85,10.2469
COSMOS,0.432102262439454,-1.42718293907028,2.68954467582917,0.157337944465973,1.0406201193506,1.2834,0.6786,1.87,9.65533
COSMOS,0.505863683857989,-1.4330322583315,2.71102384176591,0.0893528197805275,0.774153637017124,0.3773,0.3286,1.77,9.49065
COSMOS,0.479613424064702,-1.60591908827941,3.20901151209524,0.119648349275777,0.588274177793839,2.3146,0.894,1.62,9.95143
COSMOS,0.475280930677997,-1.64594148032041,3.91789692732177,0.0935942056851976,0.404803568916352,4.159,0.6967,1.88,10.8362
COSMOS,0.454357609370755,-1.86707738809104,3.84617531236401,0.109679278046107,0.479926071017809,8,0.6532,1.83,10.4033
COSMOS,0.442442574771275,-1.36947136330246,2.62825221774675,0.146653440968275,0.613074476394035,1.2684,0.8021,1.61,9.761
COSMOS,0.564294166771033,-1.94306160977856,3.75027055183855,0.161324044264107,0.68292579775294,4.331,0.7568,1.84,9.72913
COSMOS,0.447925655123952,-1.46344806633362,2.59726233175334,0.0934628628893959,0.778581625295904,0.6156,0.6809,1.84,10.2981
COSMOS,0.399489028628119,-0.697881744887959,2.38396404359103,0.135941014191646,0.559316508017982,0.2,0.2127,1.61,9.77253
COSMOS,0.495899169225193,-1.30326576517746,2.61878967827451,0.176073889064572,0.772672001903989,0.3307,0.3695,1.86,9.95627
COSMOS,0.43630810713711,-1.83303893098964,3.35485107068886,0.11284861781212,0.947233818639764,1.8322,0.6673,2,11.2883
COSMOS,0.530141800491562,-2.07183376833497,3.87160232435439,0.141216556102542,0.775632441873962,6.7461,0.489,1.86,10.5151
COSMOS,0.359650472339395,-1.5731476672863,3.02486766668933,0.0809931560184112,0.768955424309504,0.9454,0.6554,1.86,11.117
